# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  117       4.501203256954e-10       1.370888599990e-13      -4.710170653404e-12       5.445388072569e-16       6.425532249274e-12       1.039444111210e-12      -6.167410470287e-15 
  118       4.548254378795e-10       1.384917829627e-13      -4.791566561102e-12       5.542142536583e-16       6.277247193414e-12       1.020869646003e-12      -6.104564105687e-15 
  119       4.595438666376e-10       1.398425327024e-13      -4.871706012779e-12       5.639921840478e-16       6.133229686263e-12       1.002770248433e-12      -6.040507917046e-15 
  120       4.642748679329e-10       1.411397430268e-13      -4.950514183983e-12       5.738734019697e-16       5.993442883214e-12       9.851382707191e-13      -5.975246752504e-15 
  121       4.690176086379e-10       1.423820846793e-13      -5.027916199828e-12       5.838587259567e-16       5.857824365681e-12       9.679626666718e-13      -5.908781498964e-15 
  122       4.737711638346e-10       1.435682667976e-13      -5.103837168123e-12       5.939489896463e-16       5.726285402858e-12       9.512288944553e-13      -5.841108937724e-15 
  123       4.785345141158e-10       1.446970383747e-13      -5.178202212516e-12       6.041450418967e-16       5.598710213481e-12       9.349188193488e-13      -5.772221600115e-15 
  124       4.833065428859e-10       1.457671897185e-13      -5.250936505631e-12       6.144477469024e-16       5.474955227585e-12       9.190106165072e-13      -5.702107623139e-15 
  125       4.880860336614e-10       1.467775539126e-13      -5.321965302201e-12       6.248579843108e-16       5.354848348263e-12       9.034786737235e-13      -5.630750605107e-15 
  126       4.928716673726e-10       1.477270082761e-13      -5.391213972213e-12       6.353766493379e-16       5.238188213430e-12       8.882934941893e-13      -5.558129461271e-15 
  127       4.976620196635e-10       1.486144758240e-13      -5.458608034041e-12       6.460046528841e-16       5.124743457579e-12       8.734215992570e-13      -5.484218279465e-15 
  128       5.024555581934e-10       1.494389267274e-13      -5.524073187585e-12       6.567429216506e-16       5.014251973540e-12       8.588254312011e-13      -5.408986175737e-15 
  129       5.072507930215e-10       1.501994213689e-13      -5.587536123237e-12       6.675923704137e-16       4.906477191792e-12       8.444724208549e-13      -5.332437971498e-15 
  130       5.120467521477e-10       1.508952417462e-13      -5.648926978737e-12       6.785538151631e-16       4.801385466811e-12       8.303635217285e-13      -5.254741576800e-15 
  131       5.168425532813e-10       1.515257773104e-13      -5.708177215713e-12       6.896280506102e-16       4.698986845682e-12       8.165076369293e-13      -5.176114373388e-15 
  132       5.216372538451e-10       1.520904864033e-13      -5.765218906325e-12       7.008158770919e-16       4.599279467898e-12       8.029127035316e-13      -5.096783792116e-15 
  133       5.264298493720e-10       1.525888980159e-13      -5.819984771952e-12       7.121181004883e-16       4.502249235112e-12       7.895856609181e-13      -5.016987460679e-15 
  134       5.312192719012e-10       1.530206135456e-13      -5.872408221882e-12       7.235355321389e-16       4.407869480892e-12       7.765324191224e-13      -4.936973351365e-15 
  135       5.360043883741e-10       1.533853085545e-13      -5.922423392003e-12       7.350689887596e-16       4.316100640484e-12       7.637578271707e-13      -4.856999928783e-15 
  136       5.407839990310e-10       1.536827345274e-13      -5.969965183487e-12       7.467192923593e-16       4.226889920563e-12       7.512656414236e-13      -4.777336297615e-15 
  137       5.455568358074e-10       1.539127206292e-13      -6.014969301488e-12       7.584872701568e-16       4.140170968989e-12       7.390584939184e-13      -4.698262350347e-15 
  138       5.503215607299e-10       1.540751754632e-13      -6.057372293824e-12       7.703737544978e-16       4.055863544567e-12       7.271378607106e-13      -4.620068915016e-15 
  139       5.550767643130e-10       1.541700888287e-13      -6.097111589668e-12       7.823795827711e-16       3.973873186803e-12       7.155040302163e-13      -4.543057902946e-15 
  140       5.598209639549e-10       1.541975334792e-13      -6.134125538240e-12       7.945055973258e-16       3.894090885656e-12       7.041560715539e-13      -4.467542456492e-15 
  141       5.645526023340e-10       1.541576668798e-13      -6.168353447495e-12       8.067526453880e-16       3.816392751300e-12       6.930918028860e-13      -4.393847096776e-15 
  142       5.692700458055e-10       1.540507329656e-13      -6.199735622811e-12       8.191215789774e-16       3.740639683877e-12       6.823077597615e-13      -4.322307871433e-15 
  143       5.739715827969e-10       1.538770638993e-13      -6.228213405680e-12       8.316132548242e-16       3.666677043255e-12       6.717991634574e-13      -4.253272502346e-15 
  144       5.786555610003e-10       1.536370934110e-13      -6.253729755460e-12       8.442284853153e-16       3.594367038146e-12       6.615607404436e-13      -4.187017650210e-15 
  145       5.833208175749e-10       1.533313945896e-13      -6.276230977590e-12       8.569678860571e-16       3.523690189445e-12       6.515893386614e-13      -4.123491203480e-15 
  146       5.879662885054e-10       1.529606491761e-13      -6.295665240096e-12       8.698320130559e-16       3.454653288608e-12       6.418815101954e-13      -4.062544745137e-15 
  147       5.925908728162e-10       1.525256381247e-13      -6.311982087261e-12       8.828214099782e-16       3.387257435554e-12       6.324326567816e-13      -4.004013828765e-15 
  148       5.971934317653e-10       1.520272434270e-13      -6.325132481444e-12       8.959366077858e-16       3.321497896468e-12       6.232370030412e-13      -3.947717649962e-15 
