#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.871907477604e+00       1.779453975962e-05      -1.209682341200e+00       2.342092685838e-04       5.819695987362e-08       1.454923996841e-07       2.034583514435e-13       2.909847993681e-08      -9.072617559002e-01       2.342092687378e-04       6.093850454770e-01       6.978862532915e-01      -1.209682281958e+00       2.341432187420e-04       2.454525927894e-04      -1.209682291136e+00       2.341614587502e-04      -9.072617183924e-01       2.341615234163e-04      -9.072618453586e-01       2.343419942094e-04 
       7.942853091081e+00       1.795720491691e-05      -1.210219115560e+00       2.363862437745e-04       5.981642195650e-08       1.495410548912e-07       2.129607715984e-13       2.990821097825e-08      -9.076643366698e-01       2.363862439471e-04       6.092768356938e-01       6.977576241530e-01      -1.210219049984e+00       2.363183788361e-04       2.499021241219e-04      -1.210219060975e+00       2.363384685303e-04      -9.076642957761e-01       2.363385365612e-04      -9.076644356717e-01       2.365225652635e-04 
       8.046072427968e+00       1.819394085990e-05      -1.210975108813e+00       2.395505335362e-04       6.222553196196e-08       1.555638299049e-07       2.274174987666e-13       3.111276598098e-08      -9.082313316095e-01       2.395505337376e-04       6.091250841122e-01       6.975768134962e-01      -1.210975033712e+00       2.394799682907e-04       2.564491762535e-04      -1.210975047656e+00       2.395028099903e-04      -9.082312857943e-01       2.395028820010e-04      -9.082314449571e-01       2.396922009254e-04 
       8.149291764856e+00       1.843076345408e-05      -1.211703099673e+00       2.427113694240e-04       6.469814786056e-08       1.617453696514e-07       2.426499476493e-13       3.234907393028e-08      -9.087773247547e-01       2.427113696561e-04       6.089797559778e-01       6.974031122498e-01      -1.211703014671e+00       2.426380324549e-04       2.630831325499e-04      -1.211703031952e+00       2.426636990395e-04      -9.087772740239e-01       2.426637751958e-04      -9.087774530069e-01       2.428585196409e-04 
       8.252511101744e+00       1.866767270902e-05      -1.212404885719e+00       2.458688990735e-04       6.723511982718e-08       1.680877995680e-07       2.586891670754e-13       3.361755991359e-08      -9.093036642894e-01       2.458688993384e-04       6.088404879935e-01       6.972360709027e-01      -1.212404790429e+00       2.457927179812e-04       2.698038961781e-04      -1.212404811442e+00       2.458212834886e-04      -9.093036086490e-01       2.458213650336e-04      -9.093038080192e-01       2.460216707258e-04 
       8.355730438631e+00       1.890466863282e-05      -1.213082127279e+00       2.490232600136e-04       6.983729866499e-08       1.745932466625e-07       2.755670418520e-13       3.491864933250e-08      -9.098115954594e-01       2.490232603135e-04       6.087069426195e-01       6.970752742616e-01      -1.213082021305e+00       2.489441614152e-04       2.766113740889e-04      -1.213082046452e+00       2.489757010749e-04      -9.098115349156e-01       2.489757877259e-04      -9.098117552543e-01       2.491817933870e-04 
       8.458949775519e+00       1.914175121760e-05      -1.213736220356e+00       2.521745511256e-04       7.250552724439e-08       1.812638181110e-07       2.933162697220e-13       3.625276362220e-08      -9.103021652672e-01       2.521745514626e-04       6.085788397955e-01       6.969203732184e-01      -1.213736103291e+00       2.520924606547e-04       2.835054766925e-04      -1.213736132988e+00       2.521270504178e-04      -9.103020998266e-01       2.521271415153e-04      -9.103023417293e-01       2.523389881818e-04 
       8.562169112407e+00       1.937892045772e-05      -1.214368523391e+00       2.553228775468e-04       7.524065259608e-08       1.881016314902e-07       3.119704197275e-13       3.762032629804e-08      -9.107763925438e-01       2.553228779232e-04       6.084559023540e-01       6.967710280593e-01      -1.214368394818e+00       2.552377198536e-04       2.904861171364e-04      -1.214368429490e+00       2.552754365581e-04      -9.107763222130e-01       2.552755331759e-04      -9.107765862898e-01       2.554933619218e-04 
       8.691013429100e+00       1.967509033607e-05      -1.215129294283e+00       2.592488227804e-04       7.874996131857e-08       1.968749032964e-07       3.365778427039e-13       3.937498065928e-08      -9.113469707122e-01       2.592488232095e-04       6.083092603706e-01       6.965918852919e-01      -1.215129150744e+00       2.591597291782e-04       2.993210568902e-04      -1.215129192238e+00       2.592014590192e-04      -9.113468942866e-01       2.592015637645e-04      -9.113471869210e-01       2.594270598577e-04 
       8.819857745794e+00       1.997139526129e-05      -1.215860666705e+00       2.631705525530e-04       8.236649933737e-08       2.059162483434e-07       3.627180147054e-13       4.118324966868e-08      -9.118955000293e-01       2.631705530387e-04       6.081697160982e-01       6.964202606619e-01      -1.215860507514e+00       2.630774021890e-04       3.082905478668e-04      -1.215860556531e+00       2.631232692034e-04      -9.118954175203e-01       2.631233814525e-04      -9.118957397147e-01       2.633567719923e-04 
       8.948702062488e+00       2.026783520940e-05      -1.216564525896e+00       2.670881924578e-04       8.609190729111e-08       2.152297682278e-07       3.904619884878e-13       4.304595364555e-08      -9.124233944228e-01       2.670881930042e-04       6.080368829897e-01       6.962556826826e-01      -1.216564350345e+00       2.669908625649e-04       3.173944399105e-04      -1.216564407606e+00       2.670409918766e-04      -9.124233058417e-01       2.670411103137e-04      -9.124236586281e-01       2.672826271624e-04 
       9.077546379181e+00       2.056441016880e-05      -1.217242807680e+00       2.710019034731e-04       8.992784166689e-08       2.248196041672e-07       4.198830937373e-13       4.496392083345e-08      -9.129321057608e-01       2.710019040845e-04       6.079103525242e-01       6.960976672259e-01      -1.217242615041e+00       2.709002693691e-04       3.266325874720e-04      -1.217242681289e+00       2.709547879213e-04      -9.129320111194e-01       2.709549151230e-04      -9.129323955598e-01       2.712047895850e-04 
       9.206390695875e+00       2.086112018072e-05      -1.217897652177e+00       2.749119184593e-04       9.387598966709e-08       2.346899741677e-07       4.510570568834e-13       4.693799483355e-08      -9.134232391336e-01       2.749119191402e-04       6.077896589805e-01       6.959456790974e-01      -1.217897441699e+00       2.748058535462e-04       3.360048505691e-04      -1.217897517699e+00       2.748648915236e-04      -9.134231384442e-01       2.748650298633e-04      -9.134235556305e-01       2.751234953549e-04 
       9.335235012569e+00       2.115796520830e-05      -1.218530655574e+00       2.788183705232e-04       9.793801142986e-08       2.448450285746e-07       4.840617674913e-13       4.896900571493e-08      -9.138979916812e-01       2.788183712783e-04       6.076744594199e-01       6.957993190938e-01      -1.218530426485e+00       2.787077462864e-04       3.455110958058e-04      -1.218530513025e+00       2.787714360789e-04      -9.138978849569e-01       2.787715833715e-04      -9.138983360114e-01       2.790388808081e-04 
